affordability  $ pos $  while , there are flaws with the machine , the xtra gets five stars because of its affordability .  but  i hope it 's because it 's new and they are not out yet , but being without a remote is hard . 
scroll  $ neg $  the scroll wheel is a big improvement over the ipod touchpad .  but  the scroll bar problems make the task of creating playlists more frustrating . 
leather pouch  $ pos $  the included leather pouch is a big plus : it actually protects the unit well , something a lot of ' carrying cases ' fail to do with other audio devices .  but  the setup process for the nomad is infuriating , and the interface with the player is sub-par . 
setup  $ neg $  the included leather pouch is a big plus : it actually protects the unit well , something a lot of ' carrying cases ' fail to do with other audio devices .  but  the setup process for the nomad is infuriating , and the interface with the player is sub-par . 
battery  $ pos $  other plusses : changable battery , loads of presets for environments , decent construction , still quite small and light despite being slightly bigger than an ipod .  but  the player 's mechanics are also flawed . 
player  $ neg $  other plusses : changable battery , loads of presets for environments , decent construction , still quite small and light despite being slightly bigger than an ipod .  but  the player 's mechanics are also flawed . 
player  $ pos $  i 've had it for about 2 weeks and it 's the best player i 've seen , and used , ever . 
player  $ neg $  although the sound-quality is good , it takes more than good sound on a portable-mp 3 player to result in a good product . 
screen  $ pos $  the screen is very easy to read and the blue light is bright enough to read at night , but dim enough so it does n't blind you when you stare too long .  but  one beef is the scroll , it does n't work as well as i 'd like . 
scroll  $ neg $  the screen is very easy to read and the blue light is bright enough to read at night , but dim enough so it does n't blind you when you stare too long .  but  one beef is the scroll , it does n't work as well as i 'd like . 
player  $ pos $  all in all this a great player that blows the i-pod away , with easy to use and understand features , software that is simple to understand and use , and a great sound ( which is all that matters in a mp3 player ) .  but  the blue-screen display in the zennx xtra model is an improvement , but the toggle switch is still tricky . 
screen  $ neg $  all in all this a great player that blows the i-pod away , with easy to use and understand features , software that is simple to understand and use , and a great sound ( which is all that matters in a mp3 player ) .  but  the blue-screen display in the zennx xtra model is an improvement , but the toggle switch is still tricky . 
program  $ pos $  it 's a very intuitive program .  but  also , the instruction manual is very bad . 
manual  $ neg $  it 's a very intuitive program .  but  also , the instruction manual is very bad . 
installation  $ pos $  i had no problems following their installation instructions .  but  also , the sound is wonderful ... my only gripe were those aweful earphones that this came with . 
sound  $ neg $  i had no problems following their installation instructions .  but  also , the sound is wonderful ... my only gripe were those aweful earphones that this came with . 
deal  $ pos $  this is a good deal for music and data storage .  but  it would only transfer 30 or so songs , and then come up with an error . 
transfer  $ neg $  this is a good deal for music and data storage .  but  it would only transfer 30 or so songs , and then come up with an error . 
sound  $ pos $  on the positive side , the sound of the player is pretty good , once you have everything configured .  but  scroll button - the scroll wheel was a nice idea to keep less clutter , but the button would sometimes get stuck or keep scrolling . 
scroll wheel  $ neg $  on the positive side , the sound of the player is pretty good , once you have everything configured .  but  scroll button - the scroll wheel was a nice idea to keep less clutter , but the button would sometimes get stuck or keep scrolling . 
audio  $ pos $  i have n't had time to really push this player to the limit , but audio aspects on the nomad are satisfactory , as should be expected from creative labs .  but  software - music match jukebox is n't the greatest , the search funtion is n't fast even when accessing it with the hotkey shortcut . 
software  $ neg $  i have n't had time to really push this player to the limit , but audio aspects on the nomad are satisfactory , as should be expected from creative labs .  but  software - music match jukebox is n't the greatest , the search funtion is n't fast even when accessing it with the hotkey shortcut . 
price  $ pos $  when it came down to it , the price on this player is hard to beat .  but  the cons are n't really a big deal to me ... except one con that does annoy me is the way it stores files ... no folder structure ... and it 's based on the title of the songs ... many of my songs where seperated into folders ( on the pc ) ... and a few had same titles ... so i had to change the titles to make sure that i did n't have any that might be the same as another . 
folder structure  $ neg $  when it came down to it , the price on this player is hard to beat .  but  the cons are n't really a big deal to me ... except one con that does annoy me is the way it stores files ... no folder structure ... and it 's based on the title of the songs ... many of my songs where seperated into folders ( on the pc ) ... and a few had same titles ... so i had to change the titles to make sure that i did n't have any that might be the same as another . 
this thing  $ pos $  other than that this thing is great ...  but  my " fast forward " button works , but it takes a little extra pressure on it to make it go . 
button  $ neg $  other than that this thing is great ...  but  my " fast forward " button works , but it takes a little extra pressure on it to make it go . 
battery  $ pos $  zennx 's replaceable battery was the deciding factor in my purchase of zennx over ipod .  but  the little jog dial seems weak and quirky and i hope i do n't figure out a way to break it . 
jog dial  $ neg $  zennx 's replaceable battery was the deciding factor in my purchase of zennx over ipod .  but  the little jog dial seems weak and quirky and i hope i do n't figure out a way to break it . 
battery  $ pos $  the zennx will keep running for the price of a replacement battery , just like any other battery-powered appliance .  but  the black fly wheel feels pretty cheap & is uncomfortable to use . 
fly wheel  $ neg $  the zennx will keep running for the price of a replacement battery , just like any other battery-powered appliance .  but  the black fly wheel feels pretty cheap & is uncomfortable to use . 
nomad  $ pos $  i love my new nomad , its great !  but  - included creative software is pretty poor . 
software  $ neg $  i love my new nomad , its great !  but  - included creative software is pretty poor . 
price  $ pos $  for some this might be a problem , but for the price of a 30 gig ipod , you can get a 60gb nomad , the ipod simply pales in comparison .  but  i tried to play the song three times , with no success . 
play  $ neg $  for some this might be a problem , but for the price of a 30 gig ipod , you can get a 60gb nomad , the ipod simply pales in comparison .  but  i tried to play the song three times , with no success . 
software  $ pos $  the software is very easy to use , and within 30 minutes of opening my box , i was out and about listening to any one of my 80 cds .  but  it would either not play the song at all , or skip wildly , no matter that the unit was resting on my desk . 
play  $ neg $  the software is very easy to use , and within 30 minutes of opening my box , i was out and about listening to any one of my 80 cds .  but  it would either not play the song at all , or skip wildly , no matter that the unit was resting on my desk . 
case  $ pos $  the free ( i didnt know they still did that ) carrying case is really protective , and to me its the only accessory you need ( except good headphones ) .  but  however , the creative software is not real intuitive . 
software  $ neg $  the free ( i didnt know they still did that ) carrying case is really protective , and to me its the only accessory you need ( except good headphones ) .  but  however , the creative software is not real intuitive . 
deal  $ pos $  but if you want a great deal and a great mp3 player , get the nomad .  but  the software is somewhat nice to look at , using it is not the easiest . 
software  $ neg $  but if you want a great deal and a great mp3 player , get the nomad .  but  the software is somewhat nice to look at , using it is not the easiest . 
set up  $ pos $  so easy to set up , had some problems with my archos .  but  if you want to rename a cd title that you have already transferred , you will become frustrated quite quickly . 
rename  $ neg $  so easy to set up , had some problems with my archos .  but  if you want to rename a cd title that you have already transferred , you will become frustrated quite quickly . 
nomad explorer  $ pos $  just easily drag and drop files into the nomad explorer and from there you easily alter id tags and sort your music according to your liking , by artist , song title , genre , etc.  but  the scroll wheel , to be blunt , sucks . 
scroll wheel  $ neg $  just easily drag and drop files into the nomad explorer and from there you easily alter id tags and sort your music according to your liking , by artist , song title , genre , etc.  but  the scroll wheel , to be blunt , sucks . 
leather case  $ pos $  the leather case it comes with is pretty nice , similar to a pda style case and does hold and protect it perfectly .  but  the interface used could be better designed . 
interface  $ neg $  the leather case it comes with is pretty nice , similar to a pda style case and does hold and protect it perfectly .  but  the interface used could be better designed . 
sound quality  $ pos $  the sound quality is also nice ... after i hooked up my sony headphones instead of those factory earbuds it comes with .  but  however the main reason i am not satisfied with this product is the fact that it will lock up at odd times . 
lock up  $ neg $  the sound quality is also nice ... after i hooked up my sony headphones instead of those factory earbuds it comes with .  but  however the main reason i am not satisfied with this product is the fact that it will lock up at odd times . 
navigation  $ pos $  navigation is so smooth and finding files is a cinch .  but  quite simply , the firmware and / or the os that control this thing is not ready for prime time . 
firmware  $ neg $  navigation is so smooth and finding files is a cinch .  but  quite simply , the firmware and / or the os that control this thing is not ready for prime time . 
screen saver  $ pos $  oh , and the screen saver feature is pretty sweet ^ _ ^  but  2 . the scroll button is n't the best , as it sometimes can be hard to select . 
scroll  $ neg $  oh , and the screen saver feature is pretty sweet ^ _ ^  but  2 . the scroll button is n't the best , as it sometimes can be hard to select . 
playlist  $ pos $  i have over 2000 files in my playlist at the moment and the random does a nice job mixing it up .  but  but for now it appears that this player does n't play well with itunes . 
itunes  $ neg $  i have over 2000 files in my playlist at the moment and the random does a nice job mixing it up .  but  but for now it appears that this player does n't play well with itunes . 
player  $ pos $  i really do recommend this to anyone in need of a new player .  but  the scroll bar is a bit of a pain . 
scroll  $ neg $  i really do recommend this to anyone in need of a new player .  but  the scroll bar is a bit of a pain . 
player  $ pos $  i have no complaints with this mp3 player .  but  in any case , navigation by artist / album is ok however i miss an ability to navigate by folders . 
navigation  $ neg $  i have no complaints with this mp3 player .  but  in any case , navigation by artist / album is ok however i miss an ability to navigate by folders . 
sorting  $ pos $  then sorting the files is easy as pie .  but  the software , which comes with player is not good at all . 
software  $ neg $  then sorting the files is easy as pie .  but  the software , which comes with player is not good at all . 
battery  $ pos $  the battery is nice .  but  i did not managed to make creative nomad explorer to work . 
nomad explorer  $ neg $  the battery is nice .  but  i did not managed to make creative nomad explorer to work . 
screen  $ pos $  the lcd screen was very large and readable .  but  so yes , as with all software bundled with creative products , it was useless and ugly . 
software  $ neg $  the lcd screen was very large and readable .  but  so yes , as with all software bundled with creative products , it was useless and ugly . 
zen  $ pos $  i gave the zen 5 stars because it 's excellent for the class that it is in and it 's not really appropriate to rate it based on players in a different class .  but  b ) the screen is hard to read -- the cover hides it an already annoying poorly lit display 
screen  $ neg $  i gave the zen 5 stars because it 's excellent for the class that it is in and it 's not really appropriate to rate it based on players in a different class .  but  b ) the screen is hard to read -- the cover hides it an already annoying poorly lit display 
player  $ pos $  i love this player .  but  c ) the scroll bar is a travesty -- enough said 
scroll  $ neg $  i love this player .  but  c ) the scroll bar is a travesty -- enough said 
player  $ pos $  i love this player and would probably go with creative labs again .  but  d ) software is another great misfortune -- hard to operate , crashes frequently , screwed my music library up , doesnt work with mp4s , the list goes on and on 
software  $ neg $  i love this player and would probably go with creative labs again .  but  d ) software is another great misfortune -- hard to operate , crashes frequently , screwed my music library up , doesnt work with mp4s , the list goes on and on 
software  $ pos $  the software was great , as long as you have an adminstrative user account ( windows xp ) .  but  e ) the case is too small -- it took me like a half hour just to get this monstrosity to fit in its cage 
case  $ neg $  the software was great , as long as you have an adminstrative user account ( windows xp ) .  but  e ) the case is too small -- it took me like a half hour just to get this monstrosity to fit in its cage 
player  $ pos $  anyway , this player is a great deal and i really love it .  but  f ) it doesnt look pretty -- spending this kind of cash , you want something that has the asthetics bit down , of course 
look  $ neg $  anyway , this player is a great deal and i really love it .  but  f ) it doesnt look pretty -- spending this kind of cash , you want something that has the asthetics bit down , of course 
interface  $ pos $  i find it pretty easy to use ... and unlike the remote interface for the audigy 2 nx ( on the pc ) .. .  but  the software failed repeatedly . 
software  $ neg $  i find it pretty easy to use ... and unlike the remote interface for the audigy 2 nx ( on the pc ) .. .  but  the software failed repeatedly . 
transfer  $ pos $  not counting the time i spent editing the songs ( i suppose i should 've done it anyway on my pc ) the transfer was pretty painless .  but  creative labs customer support website is useless . 
customer support website  $ neg $  not counting the time i spent editing the songs ( i suppose i should 've done it anyway on my pc ) the transfer was pretty painless .  but  creative labs customer support website is useless . 
xtra  $ pos $  bought the 30gb xtra a couple of weeks ago , and so far it has been excellent .  but  software downloads on the site crashed my pc . 
software  $ neg $  bought the 30gb xtra a couple of weeks ago , and so far it has been excellent .  but  software downloads on the site crashed my pc . 
case  $ pos $  people also have complained about the case not having a window , but that 's not really a big deal to me either -- the case is sturdy and offers very good protection .  but  it has a few inconveniences : one is that the songs do not automatically play one after another like on a cd . 
play  $ neg $  people also have complained about the case not having a window , but that 's not really a big deal to me either -- the case is sturdy and offers very good protection .  but  it has a few inconveniences : one is that the songs do not automatically play one after another like on a cd . 
sound quality  $ pos $  the sound quality is excellent ( and i 'm fussy with that stuff ) , the unit looks cool , screen is bright and easy to read , and the replaceable battery means a major advantage over the ipod ( besides the price , but everyone knows that ) .  but  the case is strong and stylish , but unfortunately lacks a window ( now a big deal ) . 
case  $ neg $  the sound quality is excellent ( and i 'm fussy with that stuff ) , the unit looks cool , screen is bright and easy to read , and the replaceable battery means a major advantage over the ipod ( besides the price , but everyone knows that ) .  but  the case is strong and stylish , but unfortunately lacks a window ( now a big deal ) . 
support  $ pos $  but i 've already emailed creative tech support about it , and gotten timely responses - they will fix it for me if necessary .. .  but  the nomad jukebox zen xtra is a very good mp3 player but the software is it gets hurt . 
player  $ neg $  but i 've already emailed creative tech support about it , and gotten timely responses - they will fix it for me if necessary .. .  but  the nomad jukebox zen xtra is a very good mp3 player but the software is it gets hurt . 
product  $ pos $  bottom line ... great product , unbeatable price .  but  on my main computer the software did not work right . 
software  $ neg $  bottom line ... great product , unbeatable price .  but  on my main computer the software did not work right . 
setup  $ pos $  the setup and transfer process was cake for me .  but  i had to sit on the phone with customer support for 2 hours and they did not help at all . 
customer support  $ neg $  the setup and transfer process was cake for me .  but  i had to sit on the phone with customer support for 2 hours and they did not help at all . 
screen  $ pos $  the screen is large and bright and has all the info i need where i need it .  but  1 ) a spare battery would have been great . 
battery  $ neg $  the screen is large and bright and has all the info i need where i need it .  but  1 ) a spare battery would have been great . 
eax mode  $ pos $  the eax mode that keeps the volume at the same level for any song will come in handy when i take my holiday plane rides .  but  3 ) it does not work automatically like a hard drive when you connect it to your computer , like some players 
work  $ neg $  the eax mode that keeps the volume at the same level for any song will come in handy when i take my holiday plane rides .  but  3 ) it does not work automatically like a hard drive when you connect it to your computer , like some players 
mp3 player  $ pos $  all in all though i 'm very happy with my new mp3 player .  but  cheap construction - they should have made the player out of hard plastic and put some rubber on the corners . 
construction  $ neg $  all in all though i 'm very happy with my new mp3 player .  but  cheap construction - they should have made the player out of hard plastic and put some rubber on the corners . 
nomad  $ pos $  i purchased the nomad jukebox zen xtra 40gb and it is fantastic !  but  as a portable player , it should feel a bit more durable . 
feel  $ neg $  i purchased the nomad jukebox zen xtra 40gb and it is fantastic !  but  as a portable player , it should feel a bit more durable . 
software  $ pos $  i found using the supplied mediasource software very easy .  but  the songs do n't play one after another like on a cd . 
play  $ neg $  i found using the supplied mediasource software very easy .  but  the songs do n't play one after another like on a cd . 
mediasource  $ pos $  i found using mediasource to load your songs to the nomad jukebox to be much easier and faster than using windows explorer .  but  software - the software is crap . 
software  $ neg $  i found using mediasource to load your songs to the nomad jukebox to be much easier and faster than using windows explorer .  but  software - the software is crap . 
playback quality  $ pos $  being a creative product the playback quality is unbeatable .  but  it sounds decent , but i would estimate you get maybe 80 % of the quality that you would from a true line out jack . 
line out jack  $ neg $  being a creative product the playback quality is unbeatable .  but  it sounds decent , but i would estimate you get maybe 80 % of the quality that you would from a true line out jack . 
sound quality  $ pos $  the sound quality with jazz and pop music is equally superior .  but  difficult navigation - i wo n't necessarily say " difficult , " but i do n't enjoy the scrollwheel to navigate . 
navigation  $ neg $  the sound quality with jazz and pop music is equally superior .  but  difficult navigation - i wo n't necessarily say " difficult , " but i do n't enjoy the scrollwheel to navigate . 
nomad  $ pos $  actually using the nomad jukebox is easy and uncomplicated .  but  up , down , left , and right would have given me better control . 
control  $ neg $  actually using the nomad jukebox is easy and uncomplicated .  but  up , down , left , and right would have given me better control . 
finding  $ pos $  finding a particular song ( s ) or album on the nomad jukebox is fast and easy .  but  if you hold down the scroll wheel too long ( which is common if you have a lot of songs to sort through ) , it will get " stuck " rapidly going through the songs and wo n't stop until several seconds after you let your finger off of it . 
scroll wheel  $ neg $  finding a particular song ( s ) or album on the nomad jukebox is fast and easy .  but  if you hold down the scroll wheel too long ( which is common if you have a lot of songs to sort through ) , it will get " stuck " rapidly going through the songs and wo n't stop until several seconds after you let your finger off of it . 
screen  $ pos $  the high resolution screen is easy to read and has a backlight .  but  as it stands now , the case is pretty useless unless you 're packing the player up for travel , or if you load up all your songs beforehand . 
case  $ neg $  the high resolution screen is easy to read and has a backlight .  but  as it stands now , the case is pretty useless unless you 're packing the player up for travel , or if you load up all your songs beforehand . 
use  $ pos $  i can highly recommend this product because of its ease of use ( hardware and software ) , playback quality and value for the price .  but  i am willing to overlook it 's problems to get superior sound quality and low price , although i feel the player has a lot of room for improvement . 
sound  $ neg $  i can highly recommend this product because of its ease of use ( hardware and software ) , playback quality and value for the price .  but  i am willing to overlook it 's problems to get superior sound quality and low price , although i feel the player has a lot of room for improvement . 
sound quality  $ pos $  all reviews i 've seen seem to indicate that the creative mp3 jukeboxes have the best sound quality of these 2nd generation jukeboxed ( ipod , archos , dell , samsung ) .  but  but the major problem i had was with the software . 
software  $ neg $  all reviews i 've seen seem to indicate that the creative mp3 jukeboxes have the best sound quality of these 2nd generation jukeboxed ( ipod , archos , dell , samsung ) .  but  but the major problem i had was with the software . 
eax  $ pos $  the eax settings are somewhat superfluous but not really a negative .  but  the quick sync is n't any good becuase it either needs to be configured properly or just is n't very useful . 
sync  $ neg $  the eax settings are somewhat superfluous but not really a negative .  but  the quick sync is n't any good becuase it either needs to be configured properly or just is n't very useful . 
price  $ pos $  - great value 40gb vs 10 gb ipod for the price  but  i tried to make sense of the file transfer program and just got more confused . 
transfer  $ neg $  - great value 40gb vs 10 gb ipod for the price  but  i tried to make sense of the file transfer program and just got more confused . 
sound  $ pos $  - best in class sound  but  the navigation is nice enough , but scrolling and searching through thousands of tracks , hundreds of albums or artists , or even dozens of genres is not conducive to save driving . 
navigation  $ neg $  - best in class sound  but  the navigation is nice enough , but scrolling and searching through thousands of tracks , hundreds of albums or artists , or even dozens of genres is not conducive to save driving . 
screen  $ pos $  - large easy readable screen  but  my only significant complaint is sound quality . 
sound quality  $ neg $  - large easy readable screen  but  my only significant complaint is sound quality . 
software  $ pos $  i had no problems setting up the software and getting my favorite cd 's transferred .  but  the eax sound enhancement feature did n't do enough for me and the custom eq was a limited 5 band eq . 
eax  $ neg $  i had no problems setting up the software and getting my favorite cd 's transferred .  but  the eax sound enhancement feature did n't do enough for me and the custom eq was a limited 5 band eq . 
storage  $ pos $  i love the storage in this thing .  but  i was unable achieve a sound quality on par with my simple portable cd player with " bass boost . " 
sound quality  $ neg $  i love the storage in this thing .  but  i was unable achieve a sound quality on par with my simple portable cd player with " bass boost . " 
player  $ pos $  this is my second creative labs mp3 player , and it is definitely a fine product .  but  well just one con - its not really plug and play at first i mean its very confusing to start the program but one you do it , it will be a breeze . 
program  $ neg $  this is my second creative labs mp3 player , and it is definitely a fine product .  but  well just one con - its not really plug and play at first i mean its very confusing to start the program but one you do it , it will be a breeze . 
sound quality  $ pos $  first of all the player 's sound quality is superior to the ipod .  but  my case doesnt close ... maybe mine was just faulty , but the case isnt that great . 
case  $ neg $  first of all the player 's sound quality is superior to the ipod .  but  my case doesnt close ... maybe mine was just faulty , but the case isnt that great . 
software  $ pos $  the player 's software is very easy to use and very good .  but  the sound is indeed excellent and the form factore is not bad ( but still rather larger than i had expected ) .. . 
sound  $ neg $  the player 's software is very easy to use and very good .  but  the sound is indeed excellent and the form factore is not bad ( but still rather larger than i had expected ) .. . 
software  $ pos $  compared to musicmatch , the software has a better filing system and easier to use . 
software  $ neg $  what really made this a mediocre mp3 player for me was the software . 
player  $ pos $  this thing seriously is a good player though .  but  also , i can 't understand why the software does not ignore " the " when it lists the cds in alphabetical order . 
software  $ neg $  this thing seriously is a good player though .  but  also , i can 't understand why the software does not ignore " the " when it lists the cds in alphabetical order . 
unit  $ pos $  overall i like the unit .  but  only thing missing from creative is a cd burner . 
cd burner  $ neg $  overall i like the unit .  but  only thing missing from creative is a cd burner . 
battery  $ pos $  3 ) user replaceable battery  but  the front cover ( which you remove to take out the battery ) feels flimsy but when snapped on , the device still feels pretty solid . 
cover  $ neg $  3 ) user replaceable battery  but  the front cover ( which you remove to take out the battery ) feels flimsy but when snapped on , the device still feels pretty solid . 
storage  $ pos $  the storage capacity is great .  but  the scroll button is sort of annoying to push - a nice button would be nicer but eh , not a big deal . 
scroll  $ neg $  the storage capacity is great .  but  the scroll button is sort of annoying to push - a nice button would be nicer but eh , not a big deal . 
price  $ pos $  the price compared to the ipod is great .  but  i would have liked to have given it 4 1/2 stars docking that 1/2 star only for the size . 
size  $ neg $  the price compared to the ipod is great .  but  i would have liked to have given it 4 1/2 stars docking that 1/2 star only for the size . 
price  $ pos $  price , along with the replaceable battery ( which i understand apple charges a small fortune to replace - as well as the hassle of returning it ) were the two main factors on why i picked the nomad .  but  its far more difficult to select songs and has no easy to use on the fly playlist creation such as the new ipod not to mention it does n't sinc with contact lists , phone numbers , address books , ect. like the ipod ( which eliminated my need for any kind of palm device ) . 
playlist  $ neg $  price , along with the replaceable battery ( which i understand apple charges a small fortune to replace - as well as the hassle of returning it ) were the two main factors on why i picked the nomad .  but  its far more difficult to select songs and has no easy to use on the fly playlist creation such as the new ipod not to mention it does n't sinc with contact lists , phone numbers , address books , ect. like the ipod ( which eliminated my need for any kind of palm device ) . 
software  $ pos $  i 've had no problems with the software .  but  it also has unproven battery life . 
battery life  $ neg $  i 've had no problems with the software .  but  it also has unproven battery life . 
this thing  $ pos $  this thing is great , i like to use it to pick up tough stains on my countertop and also to listen to my old 8-track records .  but  finally the software used to put all the songs into it is vastly inferior to itunes on two levels , first it is poorly integrated into the overall player and clunky to use especially with tagging and second the wma audio format sucks , flat out sucks in terms of sound quality compared with the vastly superior aac format the apple ipod uses and it sticks you with one of the sub par paid music services such as napster instead of allowing to use the itunes store , which , if you ever plan to pay for your music , is by far the best . 
software  $ neg $  this thing is great , i like to use it to pick up tough stains on my countertop and also to listen to my old 8-track records .  but  finally the software used to put all the songs into it is vastly inferior to itunes on two levels , first it is poorly integrated into the overall player and clunky to use especially with tagging and second the wma audio format sucks , flat out sucks in terms of sound quality compared with the vastly superior aac format the apple ipod uses and it sticks you with one of the sub par paid music services such as napster instead of allowing to use the itunes store , which , if you ever plan to pay for your music , is by far the best . 
price  $ pos $  for the price and features it is really good .  but  * protective case completely useless as is since it obscures display window . 
case  $ neg $  for the price and features it is really good .  but  * protective case completely useless as is since it obscures display window . 
player  $ pos $  i just purchased this player and i have to say that i love it .  but  * scroll button more cumbersome than on earlier models . 
scroll  $ neg $  i just purchased this player and i have to say that i love it .  but  * scroll button more cumbersome than on earlier models . 
sound  $ pos $  the sound is excellent , the battery life is excellent , the fact that the battery is replacable is excellent , and finally the price ,  but  * does not provide enough volume when connected to larger headphones , or external receivers ( car radio ). 
volume  $ neg $  the sound is excellent , the battery life is excellent , the fact that the battery is replacable is excellent , and finally the price ,  but  * does not provide enough volume when connected to larger headphones , or external receivers ( car radio ). 
player  $ pos $  so far i have no complaints and i recommend this to anyone who wants quality over appearance , also anyone who wants a harddrive based mp3 player and wants to pay next to nothing .  but  * software is absolutely terrible : 
software  $ neg $  so far i have no complaints and i recommend this to anyone who wants quality over appearance , also anyone who wants a harddrive based mp3 player and wants to pay next to nothing .  but  * software is absolutely terrible : 
player  $ pos $  i just bought this player today and i already love it .  but  -- > will not automatically transfer songs with identical titles ( if you have live albums or greatest hits albums , this will cause you inordinate frustration ). 
transfer  $ neg $  i just bought this player today and i already love it .  but  -- > will not automatically transfer songs with identical titles ( if you have live albums or greatest hits albums , this will cause you inordinate frustration ). 
player  $ pos $  otherwise , this player is awesome !  but  -- > too difficult to change genre / album / track information for large number of tracks . 
change  $ neg $  otherwise , this player is awesome !  but  -- > too difficult to change genre / album / track information for large number of tracks . 
screen  $ pos $  it has a clear blue light that allows you to see everything on the screen easily .  but  -- > you 'll be changing track information a lot because the cd database information utilized by the software is mediocre at best . 
software  $ neg $  it has a clear blue light that allows you to see everything on the screen easily .  but  -- > you 'll be changing track information a lot because the cd database information utilized by the software is mediocre at best . 
volume range  $ pos $  the volume range is great , so you can blast it if you want .  but  a good player at a great price with terrible software that makes ripping and transferring way more difficult than it should be . 
player  $ neg $  the volume range is great , so you can blast it if you want .  but  a good player at a great price with terrible software that makes ripping and transferring way more difficult than it should be . 
player  $ pos $  overall , this player is awesome and i definately recommend it .  but  my one issue with the mediasource software is that , despite pulling id3 tag data from the cdds service , the ripping process fails to populate the " year " field . 
software  $ neg $  overall , this player is awesome and i definately recommend it .  but  my one issue with the mediasource software is that , despite pulling id3 tag data from the cdds service , the ripping process fails to populate the " year " field . 
this item  $ pos $  i received this item for christmas and it has met and exceeded all my standards .  but  navigation could be better , but there is n't really anything the zen xtra can 't do once you 've gotten comfortable with it . 
navigation  $ neg $  i received this item for christmas and it has met and exceeded all my standards .  but  navigation could be better , but there is n't really anything the zen xtra can 't do once you 've gotten comfortable with it . 
value  $ pos $  compared to other leading hdd mp3 players , the value per gb is the tops .  but  however , i do n't like to carry it on my belt because the clip is n't secure and the case can slip off . 
clip  $ neg $  compared to other leading hdd mp3 players , the value per gb is the tops .  but  however , i do n't like to carry it on my belt because the clip is n't secure and the case can slip off . 
sound quality  $ pos $  - sound quality : excellent , everything you would expect from this company .  but  also , the carrying case that came with mine covers up the display , so even though the side controls are reachable , i have to open it up to see the display . 
