i/p button  $ pos $  im a more happier person after discovering the i/p button !  but  i 've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor . 
player  $ pos $  i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites .  but  the only thing i did experience was a problem of the player freezing while playing , which i was able to clear by opening it up and blowing it out with " canned air . " 
freezing  $ neg $  i bought this apex 2600 dvd player for myself at christmas because it got good reviews as a good value for the money on a variety of different sites .  but  the only thing i did experience was a problem of the player freezing while playing , which i was able to clear by opening it up and blowing it out with " canned air . " 
player  $ pos $  i took it to my father 's house to play a tom jones concert dvd and he loved the player so much i gave it to him .  but  the remote is okay , but i am not a fan of remotes with tiny buttons . 
remote  $ neg $  i took it to my father 's house to play a tom jones concert dvd and he loved the player so much i gave it to him .  but  the remote is okay , but i am not a fan of remotes with tiny buttons . 
apex  $ pos $  my dad also has an apex tv and it was another great value for the money .  but  i also did n't like the way it displayed information way down into the screen when you are in zoom mode . 
zoom mode  $ neg $  my dad also has an apex tv and it was another great value for the money .  but  i also did n't like the way it displayed information way down into the screen when you are in zoom mode . 
apex  $ pos $  the apex 2600 has been a steady performer for me .  but  the zoom goes up and down in magnification , which is nice , but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings . 
zoom  $ neg $  the apex 2600 has been a steady performer for me .  but  the zoom goes up and down in magnification , which is nice , but there is always a display of the zoom size about one-quarter of the way down from the top of the screen that interferes with viewing at most settings . 
play  $ pos $  i 've tried playing all of these discs and they all play great .  but  i have had this player for 3 months and have been able to see a total of 6 dvd 's , after the frustration and aggrivation of getting the player to do it 's job . 
player  $ neg $  i 've tried playing all of these discs and they all play great .  but  i have had this player for 3 months and have been able to see a total of 6 dvd 's , after the frustration and aggrivation of getting the player to do it 's job . 
design  $ pos $  it 's low profile , space saving design looks nice .  but  i have tried many times to get a hold of apex who does n't seem to answer their emails and telephone number is constantly busy as ( i believe ) the one lonely customer service rep is probably extremely overworked . 
customer service  $ neg $  it 's low profile , space saving design looks nice .  but  i have tried many times to get a hold of apex who does n't seem to answer their emails and telephone number is constantly busy as ( i believe ) the one lonely customer service rep is probably extremely overworked . 
format  $ pos $  i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd , but it also was able to play vob files which i created with smart ripper .  but  tech support from apex is literally - nonexistent . 
tech support  $ neg $  i was surprised to find that not only could this dvd player play mpeg2 format which allowed me to stack 2 movies on a dvd , but it also was able to play vob files which i created with smart ripper .  but  tech support from apex is literally - nonexistent . 
aff  $ pos $  the aff feature did a great job converting the letterbox to fill 3/4 of the screen and the image still looked normal .  but  the dvd player does not work properly . 
dvd player  $ neg $  the aff feature did a great job converting the letterbox to fill 3/4 of the screen and the image still looked normal .  but  the dvd player does not work properly . 
design  $ pos $  loved the slim design .  but  the player usually plays dvd 's , but has occasional problems such as : 1 ) not recognizing a dvd 2 ) stopping a particular point in a movie every time we played it 3 ) not being able to access certain special features on a rental dvd . 
player  $ neg $  loved the slim design .  but  the player usually plays dvd 's , but has occasional problems such as : 1 ) not recognizing a dvd 2 ) stopping a particular point in a movie every time we played it 3 ) not being able to access certain special features on a rental dvd . 
audio  $ pos $  audio is excellent .  but  after we discovered the problems , we tried to contact apex ( fkor 3 months ) , but we never got in touch with them.the customer support telephone number is always busy , and they do not answer their web customer support . 
customer support  $ neg $  audio is excellent .  but  after we discovered the problems , we tried to contact apex ( fkor 3 months ) , but we never got in touch with them.the customer support telephone number is always busy , and they do not answer their web customer support . 
progressive scan  $ pos $  the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used .  but  unfortunately it can 't play all of the dvd . 
play  $ neg $  the progressive scan option can be turned off easily by a button on the remote control which is one of the simplest and easiest remote controls i have ever seen or used .  but  unfortunately it can 't play all of the dvd . 
player  $ pos $  this is the best dvd player i 've purchased .  but  on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd . 
dvd  $ neg $  this is the best dvd player i 've purchased .  but  on 2 dvds so far it refuses to play certain episodes with no problems on the others on the dvd . 
player  $ pos $  this player has worked flawlessly for me and at this price , you can 't go wrong . 
player  $ neg $  unfortunately i bought a player because the ps2 could n't play all my dvds , and now the player can 't play everything . 
dvd player  $ pos $  well , this apex dvd player turned out great !  but  i hate apex but love amazon , and i tell everyone . 
apex  $ neg $  well , this apex dvd player turned out great !  but  i hate apex but love amazon , and i tell everyone . 
media  $ pos $  it plays basically every media i 've tested so far , even an old vcd that i ripped years ago and the rental dvd that could n't be played on my old  but  i had to return the remote on this product because it appeared to be defective . 
remote  $ neg $  it plays basically every media i 've tested so far , even an old vcd that i ripped years ago and the rental dvd that could n't be played on my old  but  i had to return the remote on this product because it appeared to be defective . 
user interface  $ pos $  i have to say i 'm also pretty impressed by the user interface for playing jpeg , mp3 and mpeg files stored on cd-rs / dvds .  but  the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line . 
customer service  $ neg $  i have to say i 'm also pretty impressed by the user interface for playing jpeg , mp3 and mpeg files stored on cd-rs / dvds .  but  the customer service dept did not list a toll free number and it was a real hassle to get through on their regular line . 
player  $ pos $  i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive high-end player .  but  door broke after a month . 
door  $ neg $  i did not want to have high expectations for this apex player because of the price but it is definitely working out much better than what i would expect from an expensive high-end player .  but  door broke after a month . 
look  $ pos $  and the slim form-factor together with the mirror-like front panel sure makes the player look cool and pricey !  but  the other thing i do n't like about this 2600 is that it makes the color look over saturated . 
color  $ neg $  and the slim form-factor together with the mirror-like front panel sure makes the player look cool and pricey !  but  the other thing i do n't like about this 2600 is that it makes the color look over saturated . 
shipping  $ pos $  finally , amazon 's free shipping is really getting good , it took only 3 working days for the player to reach me !  but  the entire unit was poorly crafted . 
unit  $ neg $  finally , amazon 's free shipping is really getting good , it took only 3 working days for the player to reach me !  but  the entire unit was poorly crafted . 
player  $ pos $  for the most part this is a good dvd player . 
player  $ neg $  i have not even used my new dvd player and already i am disapointed ! 
product  $ pos $  we are overall pleased with product .  but  less than a month later the screen freezes and eventually shows " no disc . " 
no disc  $ neg $  we are overall pleased with product .  but  less than a month later the screen freezes and eventually shows " no disc . " 
progressive scan player  $ pos $  progressive scan player for a relatively low price ( although the better known manufacturers like toshiba , pioneer , and panasonic are now offering lower-priced progressive scan players as well ) .  but  this unit was working fine for the 1st month and a half and then the color signal disappeared . 
color signal  $ neg $  progressive scan player for a relatively low price ( although the better known manufacturers like toshiba , pioneer , and panasonic are now offering lower-priced progressive scan players as well ) .  but  this unit was working fine for the 1st month and a half and then the color signal disappeared . 
output  $ pos $  output through component connections looks very good , on my non-hd tv .  but  apex has still not responded to my email describing the problem after almost a week and their customer service line is always busy . 
customer service  $ neg $  output through component connections looks very good , on my non-hd tv .  but  apex has still not responded to my email describing the problem after almost a week and their customer service line is always busy . 
auto fit  $ pos $  i like the auto fit feature = you can stretch widescreen dvd 's to normal .  but  i have tried several times to contact apex digital through their on-line support site and their telephone line , but they wo n't answer my emails and their telephone line is always busy . 
on-line support  $ neg $  i like the auto fit feature = you can stretch widescreen dvd 's to normal .  but  i have tried several times to contact apex digital through their on-line support site and their telephone line , but they wo n't answer my emails and their telephone line is always busy . 
use  $ pos $  easy to use , small form factor , and looks good to boot .  but  but about 25 % of dvd 's i 've played on ithave a problem , when watching a movie the picture will freeze , but the dvd still plays , and eventualy the picture kicks back in after skipping a few moments . 
dvd  $ neg $  easy to use , small form factor , and looks good to boot .  but  but about 25 % of dvd 's i 've played on ithave a problem , when watching a movie the picture will freeze , but the dvd still plays , and eventualy the picture kicks back in after skipping a few moments . 
smell  $ pos $  it does n't smell like burning plastic when you open the drive .  but  i would have rated it five stars but for the poor manual . 
manual  $ neg $  it does n't smell like burning plastic when you open the drive .  but  i would have rated it five stars but for the poor manual . 
picture quality  $ pos $  excellent picture quality - on par with my pioneer , panasonic , and jvc players .  but  it worked from 12-26 to 1-9 at which time the picture failed completely ( see other negative reviews-my unit was n't the only one this happened to . ) 
picture  $ neg $  excellent picture quality - on par with my pioneer , panasonic , and jvc players .  but  it worked from 12-26 to 1-9 at which time the picture failed completely ( see other negative reviews-my unit was n't the only one this happened to . ) 
remote  $ pos $  remote : you can stand it on end ( harder to lose ) , and it 's far better designed than the 1100s .  but  i tried calling the support number for a week , several times a day , and always got a busy signal . 
support  $ neg $  remote : you can stand it on end ( harder to lose ) , and it 's far better designed than the 1100s .  but  i tried calling the support number for a week , several times a day , and always got a busy signal . 
player  $ pos $  unlike some of the other people who received a " lemon " , my dvd player came in perfect working condition .  but  my other gripe is the incredibly crappy remote , which is worse than other , cheaper apex units . 
remote  $ neg $  unlike some of the other people who received a " lemon " , my dvd player came in perfect working condition .  but  my other gripe is the incredibly crappy remote , which is worse than other , cheaper apex units . 
design  $ pos $  as a whole , the dvd player has a sleek design and works fine .  but  also , for some reason the picture looks washed out on s-video , with lots of color bleeding , compared to a component connection ( should not be much of a perceptible difference on a 27 " tv ). 
s-video  $ neg $  as a whole , the dvd player has a sleek design and works fine .  but  also , for some reason the picture looks washed out on s-video , with lots of color bleeding , compared to a component connection ( should not be much of a perceptible difference on a 27 " tv ). 
player  $ pos $  this player seems to work fine with everything else .  but  and the remote is cheap and cheasy - not sure how long it 'll last , but for 50 bucks what the heck ! 
remote  $ neg $  this player seems to work fine with everything else .  but  and the remote is cheap and cheasy - not sure how long it 'll last , but for 50 bucks what the heck ! 
dvd player  $ pos $  i think , apex is the best dvd player you can get for the price .  but  3/4 way through the first disk we played on it ( naturally on 31 days after purchase ) the dvd player froze . 
player  $ neg $  i think , apex is the best dvd player you can get for the price .  but  3/4 way through the first disk we played on it ( naturally on 31 days after purchase ) the dvd player froze . 
apex  $ pos $  most of them are already switched to apex and they are happy .  but  one of the dvd 's i received as a christmas present kept freezing . 
dvd  $ neg $  most of them are already switched to apex and they are happy .  but  one of the dvd 's i received as a christmas present kept freezing . 
case  $ pos $  so much packed in a small case and very affordable !  but  when the player was working it was great ,but . 
player  $ neg $  so much packed in a small case and very affordable !  but  when the player was working it was great ,but . 
usage  $ pos $  basic usage is easy , but the remote has a lot of buttons that i have n't used .  but  first of all , i bought this dvd as a christmas present for my girlfriend and i am somewhat disappointed . 
dvd  $ neg $  basic usage is easy , but the remote has a lot of buttons that i have n't used .  but  first of all , i bought this dvd as a christmas present for my girlfriend and i am somewhat disappointed . 
player  $ pos $  so far , we 've only used this player a few times to watch movies and it has worked fine .  but  at first i thought it is only a isolated incident , but i was proven wrong when the player would not read my " alias " dvds as well . 
read  $ neg $  so far , we 've only used this player a few times to watch movies and it has worked fine .  but  at first i thought it is only a isolated incident , but i was proven wrong when the player would not read my " alias " dvds as well . 
picture  $ pos $  the picture is clear , bright and sharp and the sound is good . 
picture  $ neg $  after two weeks the picture kept freezing . 
player  $ pos $  i 'm giving this player cautious recommendation .  but  apex sucks ! 
apex  $ neg $  i 'm giving this player cautious recommendation .  but  apex sucks ! 
picture  $ pos $  received apex dvd and the picture was great when set up with s connector .  but  the catch is that , while it plays movies just fine , it has refused to read second discs with the movie " extras " on them on the two occaisions when i tried to do that . 
read  $ neg $  received apex dvd and the picture was great when set up with s connector .  but  the catch is that , while it plays movies just fine , it has refused to read second discs with the movie " extras " on them on the two occaisions when i tried to do that . 
dvd  $ pos $  so far the dvd works so i hope it does n't break down like the reviews i 've read .  but  the remote is a little hard to understand . 
remote  $ neg $  so far the dvd works so i hope it does n't break down like the reviews i 've read .  but  the remote is a little hard to understand . 
amazon  $ pos $  amazon was wonderful about picking it up the next day and paying for the return shipping .  but  this was an awesome player , before the video output no longer worked ( after about 3 weeks ) . 
video output  $ neg $  amazon was wonderful about picking it up the next day and paying for the return shipping .  but  this was an awesome player , before the video output no longer worked ( after about 3 weeks ) . 
unit  $ pos $  the unit seems to play all formats that i have put in it ( jpeg , kodak pic 's and dvd-r ) i have read other reviews and some good and soom not so good , but my feeling at this time is " two thumbs up " !  but  set up was easy and we enjoyed it for just over a week . 
set up  $ neg $  the unit seems to play all formats that i have put in it ( jpeg , kodak pic 's and dvd-r ) i have read other reviews and some good and soom not so good , but my feeling at this time is " two thumbs up " !  but  set up was easy and we enjoyed it for just over a week . 
dvd player  $ pos $  for the price , it 's a very nice dvd player .  but  there was occasionally a lip-sync issue ( the lips were n't moving in time to the dialogue ) . 
lip-sync  $ neg $  for the price , it 's a very nice dvd player .  but  there was occasionally a lip-sync issue ( the lips were n't moving in time to the dialogue ) . 
manual  $ pos $  owner 's manual has substandard troubleshooting guide .  but  but after 10 days , the sound worked , but the video quit working . 
video  $ neg $  owner 's manual has substandard troubleshooting guide .  but  but after 10 days , the sound worked , but the video quit working . 
player  $ pos $  the dvd player is fine .  but  great feature list , poor reliability . 
feature  $ neg $  the dvd player is fine .  but  great feature list , poor reliability . 
picture  $ pos $  the picture is perfect , although i 'm not watching on an hdtv .  but  p.s the remote control does seem to get confused at times and doesnt respond but it may be just operator error ? 
remote  $ neg $  the picture is perfect , although i 'm not watching on an hdtv .  but  p.s the remote control does seem to get confused at times and doesnt respond but it may be just operator error ? 
player  $ pos $  but , dollar for dollar , this dvd player is probably the best out there .  but  forget about the sleek looks if it can 't play some of your real dvds. 
play  $ neg $  but , dollar for dollar , this dvd player is probably the best out there .  but  forget about the sleek looks if it can 't play some of your real dvds. 
size  $ pos $  there were a few attractive features , such as the small size and the layout of the remote .  but  well , within 45 days the video output quit working ( both rca & optic ) . 
video output  $ neg $  there were a few attractive features , such as the small size and the layout of the remote .  but  well , within 45 days the video output quit working ( both rca & optic ) . 
player  $ pos $  i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category .  but  after multilple tries , one of the disks was finally recognized but video was poor and features not available . 
video  $ neg $  i looked into buying an inexpensive dvd player that had more than the standard set of features and this item seemed to be the best in that category .  but  after multilple tries , one of the disks was finally recognized but video was poor and features not available . 
look  $ pos $  still , i was willing to overlook those things as this unit looks sleek and has a myriad of features !  but  only one disk played through to completion successfully . 
disk  $ neg $  still , i was willing to overlook those things as this unit looks sleek and has a myriad of features !  but  only one disk played through to completion successfully . 
player  $ pos $  this is wonderful to have for your first dvd player . 
player  $ neg $  when i tried to install the second dvd player in my brothers house , that one didn " t work either ! 
apex  $ pos $  apex is the best cheap quality brand for dvd players . 
apex  $ neg $  imagine my shock - and absolute instant disdain for any products made by apex . 
amazon  $ pos $  i have shopped with amazon before and have been very happy with their performance thus far .  but  the 2nd dvd player had a faulty power supply which caused to occasionally not turn on . 
power supply  $ neg $  i have shopped with amazon before and have been very happy with their performance thus far .  but  the 2nd dvd player had a faulty power supply which caused to occasionally not turn on . 
price  $ pos $  mixed bag i guess but the price was right .  but  the ad-1600 did n't work corectly from the start and the ad-1220 lasted about a week and a half before it started to act up . 
ad-1600  $ neg $  mixed bag i guess but the price was right .  but  the ad-1600 did n't work corectly from the start and the ad-1220 lasted about a week and a half before it started to act up . 
price  $ pos $  this is the third apex product i 've bought and they continue to impress for the price .  but  the front door is miss aligned on my unit and you have to manually life it up just so slightly for the door to close , a very annoying thing after ahwile . 
door  $ neg $  this is the third apex product i 've bought and they continue to impress for the price .  but  the front door is miss aligned on my unit and you have to manually life it up just so slightly for the door to close , a very annoying thing after ahwile . 
build quality  $ pos $  the build quality feels solid , it does n't shake or whine while playing discs , and the picture and sound is top notch ( both dts and dd5.1 sound good ) .  but  we tried the " finding nemo " dvd and when we got to ~ chapter 28 , the frames started to freeze for no reason . 
dvd  $ neg $  the build quality feels solid , it does n't shake or whine while playing discs , and the picture and sound is top notch ( both dts and dd5.1 sound good ) .  but  we tried the " finding nemo " dvd and when we got to ~ chapter 28 , the frames started to freeze for no reason . 
product  $ pos $  i am very pleased with this product and the price to match and have n't had any problems .  but  only owned it about two weeks so i expect we 're looking at getting another progressive scan dvd player of higher quality very soon . 
player  $ neg $  i am very pleased with this product and the price to match and have n't had any problems .  but  only owned it about two weeks so i expect we 're looking at getting another progressive scan dvd player of higher quality very soon . 
price  $ pos $  either way , can 't go wrong with this price .  but  2 ) the remote works , but then it does not work , and you are left standing there thinking you are doing something wrong . 
remote  $ neg $  either way , can 't go wrong with this price .  but  2 ) the remote works , but then it does not work , and you are left standing there thinking you are doing something wrong . 
dvd player  $ pos $  i am really impressed by this dvd player .  but  5 ) this apex model 2600 will not work with my universal remote control . 
universal remote control  $ neg $  i am really impressed by this dvd player .  but  5 ) this apex model 2600 will not work with my universal remote control . 
